overlapGroup	chrom	posStart	posEnd	canonicalId	trait	source	priority
18	2	2240519	2243221	S100K-QTL-SB02-002240519-002243221	Drought response	Varma/SRM-IST	3.0
18	2	2240519	2243221	S100K-QTL-SB02-002240519-002243221	Drought response	Varma/SRM-IST	3.0
19	2	2500000	11400000	S100K-QTL-SB02-002500000-011400000	Source-sink balance	Saini/TTU	2.0
19	2	7975937	7985221	S100K-QTL-SB02-007975937-007985221	Grain quality	Tuinstra/Purdue	3.0
19	2	4021751	4022807	S100K-QTL-SB02-004021751-004022807	Stress response	Varma/SRM-IST	3.0
19	2	3944279	3945265	S100K-QTL-SB02-003944279-003945265	Stress response/lncRNA	Varma/SRM-IST	3.0
29	2	69697582	69698880	S100K-QTL-SB02-069697582-069698880	Stress response/lncRNA	Varma/SRM-IST	3.0
29	2	69697582	69698880	S100K-QTL-SB02-069697582-069698880	Stress response/lncRNA	Varma/SRM-IST	3.0
36	3	68026375	68029439	S100K-QTL-SB03-068026375-068029439	Drought response	Varma/SRM-IST	3.0
36	3	64556019	68255519	S100K-QTL-SB03-064556019-068255519	Plant height	Harris/USDA	3.0
41	4	418239	423162	S100K-QTL-SB04-000418239-000423162	Sugar metabolism	Fattel/Clemson	2.0
41	4	418239	423162	S100K-QTL-SB04-000418239-000423162	Stress response	Varma/SRM-IST	4.0
47	4	51292092	51304326	S100K-QTL-SB04-051292092-051304326	Starch quality	Tuinstra/Purdue	2.0
47	4	51292092	51304326	S100K-QTL-SB04-051292092-051304326	Starch quality	Tuinstra/Purdue	2.0
47	4	51292092	51304326	S100K-QTL-SB04-051292092-051304326	Starch quality	Tuinstra/Purdue	2.0
59	5	5170367	5790187	S100K-QTL-SB05-005170367-005790187	RKN resistance	Harris/USDA	1.0
59	5	5657820	5657820	S100K-NC-SB05-005657820	RKN resistance	Harris/USDA	2.0
73	6	56185793	56191223	S100K-QTL-SB06-056185793-056191223	Stress response	Varma/SRM-IST	3.0
73	6	56185793	56191223	S100K-QTL-SB06-056185793-056191223	Stress response	Varma/SRM-IST	3.0
86	7	59821905	59829921	S100K-QTL-SB07-059821905-059829921	Plant height	Tuinstra/Purdue	2.0
86	7	59821905	59829921	S100K-QTL-SB07-059821905-059829921	Plant height	Tuinstra/Purdue	2.0
86	7	59821905	59829921	S100K-QTL-SB07-059821905-059829921	Plant height	Tuinstra/Purdue	2.0
86	7	59821905	59829921	S100K-QTL-SB07-059821905-059829921	Plant height	Tuinstra/Purdue	4.0
