canonicalId	originalName	trait	markerType	chrom	posStart	posEnd	ref	alt	priority	source	sourceCode	evidence	genomeVersion
S100K-QTL-SB01-006356930-006358870	Sobic.001G082300	Stress response/lncRNA	QTL/Gene	1	6356930	6358870	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB01-006393580-006396117	Sobic.001G082700	Stress response	QTL/Gene	1	6393580	6396117	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB01-007887341-007889851	Sobic.001G102901	Stress response	QTL/Gene	1	7887341	7889851	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB01-060784896-060788922	Sobic.001G320000	Stress response	QTL/Gene	1	60784896	60788922	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB01-067540628-067541773	Sobic.001G388500	Stress response	QTL/Gene	1	67540628	67541773	NA	NA	3.0	Varma/SRM-IST	VARMA-SRM-IS	lncRNA (cis-reg)	BTx623_NCBIv3
S100K-QTL-SB01-006748036-006753421	Ma5/PhyC	Flowering time	QTL/Gene	1	6748036	6753421	NA	SBPHYC-1	3.0	Tuinstra/Purdue	TUINSTRA-PUR	Photoperiod	BTx623_NCBIv3
S100K-QTL-SB01-007623632-007625890	INV1	Sugar metabolism	QTL/Gene	1	7623632	7625890	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB01-009570245-009571387	Tb1/SbTB1	Tiller/branch architecture	QTL/Gene	1	9570245	9571387	NA	NA	2.0	Saini/TTU	SAINI-TTU	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB01-012271177-012277291	Sh1/YABBY	Grain retention	QTL/Gene	1	12271177	12277291	NA	NA	2.0	Saini/TTU	SAINI-TTU	Cloned gene	BTx623_NCBIv3
S100K-QTL-SB01-021855841-021871255	SbEhd1	Flowering time	QTL/Gene	1	21855841	21871255	NA	NA	2.0	Tadesse/USDA	TADESSE-USDA	Photoperiod pathway	BTx623_NCBIv3
S100K-QTL-SB01-028196913-028200621	SUT3	Sugar transport	QTL/Gene	1	28196913	28200621	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB01-059989927-059995061	TST1	Sugar transport	QTL/Gene	1	59989927	59995061	NA	NA	2.0	Fattel/Clemson	FATTEL-CLEMS	Candidate gene	BTx623_NCBIv3
S100K-QTL-SB01-065248714-065251356	Sobic.001G363200	Drought tolerance	QTL/Gene	1	65248714	65251356	NA	NA	3.0	Odeny/ICRISAT	ODENY-ICRISA	Pan-genome GWAS (GLA)	BTx623_NCBIv3
